country,region,year,gender,population,CVD,bloodpressure
Bosnia and Herzegovina,Europe,2010,Female,1894000,198,128.9
Botswana,Africa,2000,Male,852000,27.4,132.2
Botswana,Africa,2010,Male,996000,31.1,132.2
Botswana,Africa,2000,Female,876000,25.2,130.3
Botswana,Africa,2010,Female,1019000,33.6,129.8
Brazil,Americas,2000,Male,86623000,5133.2,131.2
Brazil,Americas,2010,Male,96932000,5179,132.4
Brazil,Americas,2000,Female,88664000,3910.4,125.3
Brazil,Americas,2010,Female,99864000,3894,124.3
Brunei Darussalam,Asia,2000,Male,169000,5,126.4
Brunei Darussalam,Asia,2010,Male,201000,6.2,126.4
Brunei Darussalam,Asia,2000,Female,164000,3.1,120.5
Brunei Darussalam,Asia,2010,Female,188000,3.9,119.4
Bulgaria,Europe,2000,Male,3898000,892.5,133.6
Bulgaria,Europe,2010,Male,3605000,767.9,133.8
Bulgaria,Europe,2000,Female,4100000,710.4,127.8
Bulgaria,Europe,2010,Female,3799000,629.9,126
Burkina Faso,Africa,2000,Male,5702000,207.5,129.7
Burkina Faso,Africa,2010,Male,7738000,254.6,129.1
Burkina Faso,Africa,2000,Female,5906000,210.9,127
Burkina Faso,Africa,2010,Female,7868000,287,126.4
Burundi,Africa,2000,Male,3141000,100.4,127.5
Burundi,Africa,2010,Male,4305000,151.9,129.6
Burundi,Africa,2000,Female,3260000,111,124.8
Burundi,Africa,2010,Female,4462000,149.7,127.7
Cambodia,Asia,2000,Male,5906000,236.9,122.5
Cambodia,Asia,2010,Male,6970000,257.8,123.7
Cambodia,Asia,2000,Female,6246000,255.5,117.9
Cambodia,Asia,2010,Female,7338000,291.6,118
Cameroon,Africa,2000,Male,7614000,364.8,129.9
Cameroon,Africa,2010,Male,9985000,422.8,130.4
Cameroon,Africa,2000,Female,7661000,346,125.2
Cameroon,Africa,2010,Female,9985000,369.9,126.4
Canada,Americas,2000,Male,15225000,808.4,124.6
Canada,Americas,2010,Male,16952000,719.3,120.5
Canada,Americas,2000,Female,15511000,622.1,118.2
Canada,Americas,2010,Female,17216000,546.6,113.6
Central African Republic,Africa,2000,Male,1848000,93.7,130.4
Central African Republic,Africa,2010,Male,2195000,109.2,130.8
Central African Republic,Africa,2000,Female,1907000,99,128.2
Central African Republic,Africa,2010,Female,2254000,112,129.1
Chad,Africa,2000,Male,4155000,202.6,131
Chad,Africa,2010,Male,5945000,269.6,131.1
Chad,Africa,2000,Female,4187000,169.5,128.5
Chad,Africa,2010,Female,5942000,249.2,129.4
Chile,Americas,2000,Male,7546000,274.3,128.2
